date	ouv	haut	bas	clot	vol	devise	
12/01/2024 00:00	3.222	3.222	3.222	3.222	0		
15/01/2024 00:00	3.408	3.408	3.408	3.408	0		
16/01/2024 00:00	3.448	3.448	3.448	3.448	0		
17/01/2024 00:00	3.562	3.562	3.562	3.562	0		
18/01/2024 00:00	3.546	3.546	3.546	3.546	0		
19/01/2024 00:00	3.522	3.522	3.522	3.522	0		
22/01/2024 00:00	3.484	3.484	3.484	3.484	0		
23/01/2024 00:00	3.543	3.543	3.543	3.543	0		
24/01/2024 00:00	3.529	3.529	3.529	3.529	0		
25/01/2024 00:00	3.454	3.454	3.454	3.454	0		
26/01/2024 00:00	3.457	3.457	3.457	3.457	0		
29/01/2024 00:00	3.37	3.37	3.37	3.37	0		
30/01/2024 00:00	3.44	3.44	3.44	3.44	0		
31/01/2024 00:00	3.353	3.353	3.353	3.353	0		
01/02/2024 00:00	3.343	3.343	3.343	3.343	0		
02/02/2024 00:00	3.428	3.428	3.428	3.428	0		
05/02/2024 00:00	3.53	3.53	3.53	3.53	0		
06/02/2024 00:00	3.484	3.484	3.484	3.484	0		
07/02/2024 00:00	3.503	3.503	3.503	3.503	0		
08/02/2024 00:00	3.565	3.565	3.565	3.565	0		
09/02/2024 00:00	3.609	3.609	3.609	3.609	0		
12/02/2024 00:00	3.555	3.555	3.555	3.555	0		
13/02/2024 00:00	3.58	3.58	3.58	3.58	0		
14/02/2024 00:00	3.52	3.52	3.52	3.52	0		
15/02/2024 00:00	3.496	3.496	3.496	3.496	0		
16/02/2024 00:00	3.529	3.529	3.529	3.529	0		
19/02/2024 00:00	3.558	3.558	3.558	3.558	0		
20/02/2024 00:00	3.512	3.512	3.512	3.512	0		
21/02/2024 00:00	3.596	3.596	3.596	3.596	0		
22/02/2024 00:00	3.584	3.584	3.584	3.584	0		
23/02/2024 00:00	3.5	3.5	3.5	3.5	0		
26/02/2024 00:00	3.556	3.556	3.556	3.556	0		
27/02/2024 00:00	3.572	3.572	3.572	3.572	0		
28/02/2024 00:00	3.567	3.567	3.567	3.567	0		
29/02/2024 00:00	3.524	3.524	3.524	3.524	0		
01/03/2024 00:00	3.539	3.539	3.539	3.539	0		
04/03/2024 00:00	3.505	3.505	3.505	3.505	0		
